"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"FSNN","Fusion Telecommunications International, Inc.","1.21","27119007.63","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/fsnn",
"FTFT","Future FinTech Group Inc.","2.2","11381011.4","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/ftft",
"FFHL","Fuwei Films (Holdings) Co., Ltd.","2.7465","8969621.3205","n/a","2006","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/ffhl",
"WILC","G. Willi-Food International,  Ltd.","6.52","86330752.76","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/wilc",
"GTHX","G1 Therapeutics, Inc.","12.53","440998336.94","n/a","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gthx",
"FOANC","Gabelli NextShares Trust","99.9","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/foanc",
"MOGLC","Gabelli NextShares Trust","99.9","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/moglc",
"GAIA","Gaia, Inc.","11.7","177292849.5","n/a","1999","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/gaia",
"GLPG","Galapagos NV","73.17","847834180.11","11587183","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glpg",
"GALT","Galectin Therapeutics Inc.","1.83","63447351.72","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/galt",
"GALE","Galena Biopharma, Inc.","0.381","14289650.364","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gale",
"GLMD","Galmed Pharmaceuticals Ltd.","8.25","100808284.5","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glmd",
